[DEBUG 2023-10-05 16:10:40] [Thread 0] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 0] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 5] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 5] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 1] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 4] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 3] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 6] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 6] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 2] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 3] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 4] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 2] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 7] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 7] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 5] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 5] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 1] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 1] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 6] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 6] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 0] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 0] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] Starting multi-threaded evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 3] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 3] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 4] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 2] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 7] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 7] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 5] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 5] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 1] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 1] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 4] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 2] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 3] Evaluation finished.
[DEBUG 2023-10-05 16:10:41] [Thread 3] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 0] Evaluation finished.
[DEBUG 2023-10-05 16:10:41] [Thread 0] Starting evaluation...
[DEBUG 2023-10-05 16:10:40] [Thread 7] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 6] Evaluation finished.
[DEBUG 2023-10-05 16:10:40] [Thread 5] Evaluation finished.
[DEBUG 2023-10-05 16:10:41] [Thread 2] Evaluation finished.
[DEBUG 2023-10-05 16:10:41] [Thread 1] Evaluation finished.
[DEBUG 2023-10-05 16:10:41] [Thread 4] Evaluation finished.
[DEBUG 2023-10-05 16:10:41] [Thread 3] Evaluation finished.
[DEBUG 2023-10-05 16:10:41] [Thread 0] Evaluation finished.
[DEBUG 2023-10-05 16:10:41] population size is now 100
[DEBUG 2023-10-05 16:10:41] archiving initial population
