[INFO 2023-10-05 16:09:41] Starting unique-name/2023-10-05-16-09-41-.log!
[INFO 2023-10-05 16:09:41] Hi, I am a program, starting now!
[DEBUG 2023-10-05 16:09:41] <class 'logging.Logger'>
[INFO 2023-10-05 16:09:41] Starting experiment with random seed 42...
[DEBUG 2023-10-05 16:09:41] generating initial population
[DEBUG 2023-10-05 16:09:41] evaluating initial population
[DEBUG 2023-10-05 16:09:41] [Thread 7] Starting evaluation...
[DEBUG 2023-10-05 16:09:41] [Thread 4] Starting evaluation...
[DEBUG 2023-10-05 16:09:41] [Thread 6] Starting evaluation...
[DEBUG 2023-10-05 16:09:41] [Thread 1] Starting evaluation...
[DEBUG 2023-10-05 16:09:41] [Thread 5] Starting evaluation...
[DEBUG 2023-10-05 16:09:41] [Thread 2] Starting evaluation...
[DEBUG 2023-10-05 16:09:41] [Thread 0] Starting evaluation...
[DEBUG 2023-10-05 16:09:41] [Thread 3] Starting evaluation...
[DEBUG 2023-10-05 16:09:41] [Thread 7] Starting evaluation...
