[INFO 2023-10-05 15:12:13] Starting unique-name/2023-10-05-15-12-13-.log!
[INFO 2023-10-05 15:12:13] Hi, I am a program, starting now!
[DEBUG 2023-10-05 15:12:13] <class 'logging.Logger'>
[INFO 2023-10-05 15:12:13] Starting experiment with random seed 42...
[DEBUG 2023-10-05 15:12:13] generating initial population
[DEBUG 2023-10-05 15:12:13] evaluating initial population
[DEBUG 2023-10-05 15:12:13] [Thread 5] Starting evaluation...
[DEBUG 2023-10-05 15:12:13] [Thread 1] Starting evaluation...
[DEBUG 2023-10-05 15:12:13] [Thread 3] Starting evaluation...
[DEBUG 2023-10-05 15:12:13] [Thread 4] Starting evaluation...
[DEBUG 2023-10-05 15:12:13] [Thread 6] Starting evaluation...
[DEBUG 2023-10-05 15:12:13] [Thread 7] Starting evaluation...
[DEBUG 2023-10-05 15:12:13] [Thread 2] Starting evaluation...
[DEBUG 2023-10-05 15:12:13] [Thread 0] Starting evaluation...
[DEBUG 2023-10-05 15:12:13] [Thread 5] Starting evaluation...
