[INFO 2024-01-22 13:26:55] Starting unique-name/2024-01-22-13-26-55-.log!
[INFO 2024-01-22 13:26:55] Hi, I am a program, starting now!
[DEBUG 2024-01-22 13:26:55] <class 'logging.Logger'>
[INFO 2024-01-22 13:26:55] Starting experiment with random seed 42...
[DEBUG 2024-01-22 13:26:56] generating initial population
[DEBUG 2024-01-22 13:26:56] evaluating initial population
[DEBUG 2024-01-22 13:26:56] [Thread 7] Starting evaluation...
[DEBUG 2024-01-22 13:26:56] [Thread 2] Starting evaluation...
[DEBUG 2024-01-22 13:26:56] [Thread 4] Starting evaluation...
[DEBUG 2024-01-22 13:26:56] [Thread 3] Starting evaluation...
[DEBUG 2024-01-22 13:26:56] [Thread 0] Starting evaluation...
[DEBUG 2024-01-22 13:26:56] [Thread 5] Starting evaluation...
[DEBUG 2024-01-22 13:26:56] [Thread 6] Starting evaluation...
[DEBUG 2024-01-22 13:26:56] [Thread 1] Starting evaluation...
[DEBUG 2024-01-22 13:26:56] [Thread 7] Starting evaluation...
