[INFO 2023-10-05 16:27:24] Starting unique-name/2023-10-05-16-27-24-.log!
[INFO 2023-10-05 16:27:24] Hi, I am a program, starting now!
[DEBUG 2023-10-05 16:27:24] <class 'logging.Logger'>
[INFO 2023-10-05 16:27:24] Starting experiment with random seed 42...
[DEBUG 2023-10-05 16:27:25] generating initial population
[DEBUG 2023-10-05 16:27:25] evaluating initial population
[DEBUG 2023-10-05 16:27:25] [Thread 1] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 4] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 2] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 6] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 7] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 5] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 3] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 0] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 1] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 1] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 4] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 4] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 2] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 2] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 6] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 6] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 7] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 7] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 5] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 3] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 0] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 0] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 4] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 3] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 5] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 1] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 1] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 2] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 2] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 4] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 6] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 6] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 7] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 7] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 0] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 0] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 5] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 5] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 3] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 3] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 1] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 2] Evaluation finished.
[DEBUG 2023-10-05 16:27:25] [Thread 2] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 1] Starting evaluation...
[DEBUG 2023-10-05 16:27:25] [Thread 4] Evaluation finished.
